ResultsVersion,ResultsDate,Company,Location,Position,PostingDate,FullDetailsURL,AllQualifications,Applicants,Employment type,Industries,Job function,Seniority level
1,16/08/2021 16h,McKinsey & Company,"Lisbon, Lisbon, Portugal",Data Scientist,2021-08-13,https://linkedin.com/jobs/view/data-scientist-at-mckinsey-company-2679902436,"['Master’s degree in a quantitative field like computer science, engineering, statistics, mathematics or related field; advanced degree is a strong plus', '3+ years of hands-on data scientist mathematical modelling experience in a business environment or equivalent', 'Proficiency in Python, R ', 'Advanced knowledge of statistical and data mining techniques (regression, decision trees, clustering, neural networks, etc.)', 'Experience working in B2B Commercial experience with any of the following sectors Aviation, Energy, Chemical, Medical Devices, Industrial) is required and B2B Pricing experience his highly beneficial', 'Proven experience in working with large datasets and relational databases (SQL)', 'Knowledge of additional programming languages is a plus (C++, Java)', 'Intellectual curiosity along with excellent problem-solving and quantitative skills including the ability to disaggregate issues, identify root causes and recommend solutions', 'Strong leadership skills; ability to inspire others, build strong relationships and create a true followership', 'Result-driven; demonstrates professional attitude', 'Strong people/team orientation skills', 'Distinctive communications skills; ability to communicate analytical and technical content in a comprehensible way']",Be among the first 25 applicants,Full-time,"Automotive, Aviation & Aerospace, and Management Consulting","Consulting, Information Technology, and Marketing",Associate
1,16/08/2021 16h,Siemens,"Lisbon, Lisbon, Portugal",Data Scientist (m/f/d),2021-07-08,https://linkedin.com/jobs/view/data-scientist-m-f-d-at-siemens-2671571434,"['Work with large, complex data sets and applying advanced analytical methods as needed', 'Develop custom data models and algorithms to apply to data sets.', 'Run PoCs and Pilots projects to investigate and prove the feasibility and benefits of the proposed solutions', 'Interact with multiple stakeholders (from different levels) and effectively present findings by exploting visual displays of complex quantity information in a simplified way', 'Identify and develop intelligent and innovative data analytics use cases to optimize business processes', 'Actively and proactively perform market/trend scouting to stay up to date on the state-of-the-art technologies', '3-5 yrs expert knowledge in advanced data analytics/data science', ""Master's degree in a quantitative discipline (e.g., Statistics, Operations Research, Bioinformatics, Economics, Computational Biology, Computer Science, Mathematics, Physics, Electrical Engineering, Industrial Engineering) or related field"", 'Experience with statistical software (e.g., R, Python, MATLAB, pandas) and database languages (e.g., SQL)', 'Experience with statistical and machine learning methods', 'Experience with cloud technologies: Amazon Web Services and/or Microsoft Azure', 'Experience on collecting business requirements and traduce it into solution designs', 'Very good communication and presentation skills', 'Fluency in English']",Be among the first 25 applicants,Full-time,Electrical/Electronic Manufacturing,Information Technology,Mid-Senior level
1,16/08/2021 16h,"VASP - Distribuidora de Publicações, S.A.","Sintra, Lisbon, Portugal",Data Scientist Junior (SQL+R),2021-08-16,https://linkedin.com/jobs/view/data-scientist-junior-sql%2Br-at-vasp-distribuidora-de-publica%C3%A7%C3%B5es-s-a-2681803785,"['Licenciado em áreas com forte componente analítica (Matemática, Matemática Aplicada ou Estatística)', 'Sólidos conhecimentos de estatística', 'Bons conhecimentos de SQL\xa0e R/Python', 'Bons conhecimentos e interesse por machine learning, sobretudo modelos de regressão com dados temporais', 'Experiência na construção e manutenção\xa0de modelos preditivos(R ou python)', 'Pensamento analítico, espírito crítico e pró-atividade', 'Conhecimentos de power BI e Azure ML serão fatores diferenciadores.', 'Análise de dados de negócio e apresentação de resultados', 'Desenvolvimento e manutenção de modelos preditivos', 'Automação de processos']",Be among the first 25 applicants,Full-time,,,
1,16/08/2021 16h,Celfinet,"Lisbon, Portugal",Data Scientist,2021-08-09,https://linkedin.com/jobs/view/data-scientist-at-celfinet-2674555313,"['Minimum of Bachelor’s or Master’s Degree in Computer Science, Engineering, or similar.\xa0', 'Strong interest in data management, processing and reporting, including modern architectures and techniques.', 'Strong coding skills and computer science fundamentals.', 'Knowledge and experience of statistical techniques and concepts.', 'Knowledge in cloud technology is a plus.', 'Knowledge of Linux, Oracle and\xa0Tableau/Power BI to manipulate data.', 'Creative problem solving and critical thinking skills, aiming to improve the existing processes.', 'Good communication skills to liaise with different interface teams.\xa0', 'Experience working\xa0with databases and solving complex business problems with high-volume data.', 'Flexible to adapt in highly dynamic environments.\xa0', 'Entry\xa0', 'Full time employment and competitive salary package;', 'Remote work flexibility;', 'Unique opportunity to work in an international environment;', 'Be part of a highly skilled technology-driven team, eager to lead through creativity and innovation;', 'The opportunity to work in challenging projects with the most demanding and technologically advanced telecom operators in the world;', 'Knowledge-sharing corporate culture;', 'Great workplace environment!']",38 applicants,Full-time,Telecommunications,"Engineering, Information Technology, and Consulting",Associate
1,16/08/2021 16h,Tripadvisor,"Lisboa, Lisbon, Portugal",Data Scientist,2021-08-04,https://linkedin.com/jobs/view/data-scientist-at-tripadvisor-2669580375,"['Owns the algorithms exposed on the website and which maximize business objectives ', 'Balances time between long-term projects and real-time firefighting ', 'Collaborates with…', 'Machine learning to improve the user experience ', 'Product to support additional features on the site ', 'Analytics to investigate trends and identify opportunities ', 'Supply to make sure we are operating an efficient marketplace ', 'Traffic to efficiently increase revenue across all channels ', 'Provides weekly and monthly management-level reports, synthesized from numerous sources, focused on measurable impacts. ', 'Focus primarily on our sort and recommendation algorithms ', 'Build solutions to solve quickly concrete business challenges (1 to 3 weeks projects) ', 'Be creative and efficient in the modeling approach (find the simple logic that solves most of the problem) ', 'Interact with many teams to support stakeholders’ projects but also owning your own initiatives ', 'Be autonomous on the steps of a data science projects from concept to implementation: data exploration, modeling, productizing & coordinate work for deployment and integration ', 'An interest to leverage data more to improve YoY revenue than to build the perfect model ', 'Willingness to have direct and visible impact on the business ', 'Preference for MVP + Iteration ', 'Master’s degree in quantitative field ', 'Ability to use SQL; Python a plus ', 'Experience in an analytical role a plus ', 'Excellent problem-solving and analytical skills ', 'Ability to communicate effectively with audiences of various background, level and function. ']",27 applicants,Full-time,"Computer Software, Internet, and Leisure, Travel & Tourism",Engineering and Information Technology,Associate
1,16/08/2021 16h,PandaDoc,"Lisbon, Lisbon, Portugal",Senior Data Scientist (Lisbon),2021-08-12,https://linkedin.com/jobs/view/senior-data-scientist-lisbon-at-pandadoc-2651945764,"['Lead, architect, and develop multiple projects.', 'Implement projects into business processes.', 'Partner with key stakeholders in Marketing, Sales, Customer Success, and Product organizations.', 'Generate new ideas for the business and be able to switch them into projects.', 'Inspire and lead junior data scientists.', '3+ years of experience working within the fast-paced and complex business setting in the data science area.', 'Must have strong SQL and Python skills also have a strong foundation in data structures, algorithms, statistics, and machine learning.', 'The candidate will also have had experience working with cleaning, manipulating, and visualizing data.', 'Required to have exceptional communication skills and capable of tailoring complex messages into simplified and business applicable material for key stakeholders.', 'Ability to communicate effectively in English, both orally and in writing.', 'An honest, open culture that emphasizes feedback and promotes professional and personal development', 'An opportunity to work from anywhere — our team is distributed worldwide, from Minsk to Manila, from Florida to California', 'An annual personal budget for educational classes, conferences, etc. — anything to further your professional knowledge', 'A competitive salary.', 'Medical insurance', '22 paid vacation days + 5 sick days + 1 holiday day for your birthday', 'Home Office Allowance 2021 - to be used for improvements in your home office set up', 'Mental Health Allowance 2021 - to be used for Counseling Psychology, Coaching and/or Meditation type Apps', 'Education Allowance - to be used to improve skills and knowledge associated with your work']",Be among the first 25 applicants,Full-time,"Information Technology and Services, Computer Software, and Internet",Engineering and Information Technology,Associate
1,16/08/2021 16h,BOLD by Devoteam,"Lisbon, Portugal",Data Scientist,2021-08-15,https://linkedin.com/jobs/view/data-scientist-at-bold-by-devoteam-2685720476,"['Bachelor’s degree in the IT area or similar;', 'Solid knowledge of Python, R, Perl, Java, C++ and Scala;', 'Working experience in statistic data analysis;', 'Knowledge of data bases like SQL and NoSQL;', 'Knowledge of NLP techniques;', 'High communication skills;', 'Good level of English (written and spoken).', 'Fair & Courageous', 'We promote Ask Me Anything sessions, a moment where any employee can question, suggest or share any topic live with the CEO.', 'We have a referral program that financially recognizes our employees for helping the company grow.', 'Ambition & Results', 'We believe in supporting the personal and professional growth of our employees. That’s why we have a differentiated career path management supported by a transparent model, capable of identifying, developing and adding value to your skills.', ""We’ve created a Strategic Gatherings concept, a moment where information about the company's performance is shared and where we discuss short-term prospects for the future."", ""We are focused on a Thought Leadership program that aims to promote and develop our employees' talent, experience and passion for technology."", 'Learning & Innovating', 'We hold informal meetings to promote knowledge sharing moments between our employees and the technological community.', 'We invest in the continuous training of our employees through technical and behavioral workshops, language classes, external funded training and certifications and by establishing partnerships with training providers.', 'Caring & Sharing', 'We created the Blue Angels, a social and environmental responsibility program that puts the solidarity of our employees at the service of the community.', 'We love some good socializing moments and we hold as many as we can, from monthly themed meetings to family events, we never say no to a good party.']",30 applicants,Full-time,Information Technology and Services,Information Technology,Not Applicable
1,16/08/2021 16h,Siemens,"Lisbon, Lisbon, Portugal",Junior Data Scientist (m/f/d),2021-07-01,https://linkedin.com/jobs/view/junior-data-scientist-m-f-d-at-siemens-2662503811,"['Build predictive and machine learning models with algorithms such as Neural Networks, Decision Trees, Boosting / Ensemble methods, Clustering, etc;', 'Constantly innovate by creating new variables; ', 'Improve modeling techniques to increase model performance;', 'Maintain and refine existing Models and procedures for building high-end analytical modeling processes', 'Data Analysis of large volumes of IoT data.', 'Experience with machine learning, data mining, statistics, or graph algorithms in academic or internship environments', 'Experience using Python, Pandas, Scikit-learn. Deep learning is a plus.', 'Knowledge of a programming language including Python, Java, JavaScript, C#', 'The ability to leverage expertise in data gathering, analytical, and problem-solving work', 'Demonstrate working knowledge of statistics', 'Possess good technical writing skills', 'Excellent attention to detail', 'Excellent oral and written skills in English']",28 applicants,Full-time,Electrical/Electronic Manufacturing,Information Technology,Associate
1,16/08/2021 16h,BOLD by Devoteam,"Lisbon, Portugal",Data Scientist,2021-08-16,https://linkedin.com/jobs/view/data-scientist-at-bold-by-devoteam-2605568897,"['Bachelor’s degree in the IT area or equivalent;', 'Working experience as a Data Scientist;', 'Solid experience with relational SQL and NoSQL databases, including Cassandra and ElasticSearch;', 'Hands-on experience writing code in multiple languages (Python, Spark, R, Scala);', 'Fluency in english (written and spoken).', 'Fair & Corageous', 'We promote Ask Me Anything sessions, a moment where any employee can question, suggest or share any topic live with the CEO.', 'We have a referral program that financially recognizes our employees for helping the company grow.', 'Ambition & Results', 'We believe in supporting the personal and professional growth of our employees. That’s why we have a differentiated career path management supported by a transparent model, capable of identifying, developing and adding value to your skills.', ""We’ve created a Strategic Gatherings concept, a moment where information about the company's performance is shared and where we discuss short-term prospects for the future."", ""We are focused on a Thought Leadership program that aims to promote and develop our employees' talent, experience and passion for technology."", 'Learning & Innovating', 'We hold informal meetings to promote knowledge sharing moments between our employees and the technological community.', 'We invest in the continuous training of our employees through technical and behavioral workshops, language classes, external funded training and certifications and by establishing partnerships with training providers.', 'Caring & Sharing', 'We are passionate about creating a diverse workforce and positively encourage applications from everyone, regardless of race, religion, gender, sexual orientation, age or any other form of prejudice.', 'We created the Blue Angels, a social and environmental responsibility program that puts the solidarity of our employees at the service of the community.', 'We love some good socializing moments and we hold as many as we can, from monthly themed meetings to family events, we never say no to a good party.']",39 applicants,Full-time,Information Technology and Services,Engineering and Information Technology,Entry level
1,16/08/2021 16h,Comparamais,"Lisbon, Lisbon, Portugal",Lead Data Scientist,2021-08-10,https://linkedin.com/jobs/view/lead-data-scientist-at-comparamais-2679857528,"['Where do we get our best leads from and how should we improve our acquisition funnel?', 'What users are we acquiring and what users should we be acquiring?', 'What is the ideal speed to competence of our call centre agents and how do we hire more top agents?', 'How does a new competitor’s entry into one of our markets affect our growth ambitions?', 'How are users browsing our site and where are they abandoning?', 'What are the trade-offs we face when choosing between growth and profitability? How should we decide between them?', 'How should we score our leads and why?', 'How should we decide which call centre agent to assign to a given lead?', 'How do online reviews influence conversion?', 'What is the optimum selection and variety of providers for a product vertical?', 'How will a change in the user interface affect customer choice behaviour?', 'What tools should we use within the organisation for data warehousing, mining and reporting?', 'Lead data mining and collection procedures', 'Ensure data quality and integrity', 'Interpret and analyse data problems', 'Conceive, plan and prioritise data projects', 'Build analytic systems and predictive models', 'Test performance of data-driven products', 'Visualize data and create reports', 'Experiment with new models and techniques', 'Align data projects with organizational goals', 'Build customer lead scoring to improve conversion', 'Proven experience as a Data Scientist or similar role', 'Solid understanding of machine learning', 'Knowledge of data management and visualization techniques', 'A knack for statistical analysis and predictive modeling', 'Good knowledge of R, Python and MATLAB', 'Experience with SQL and NoSQL databases', 'Excellent communication skills', 'A business mindset', 'Degree in Computer Science, Data Science, Mathematics or similar field', 'Private Health Insurance', 'Work From Home', 'Paid Time Off']",Be among the first 25 applicants,Full-time,Internet,Analyst,Mid-Senior level
