ResultsVersion,ResultsDate,Company,Location,Position,PostingDate,FullDetailsURL,AllQualifications,Applicants,Employment type,Industries,Job function,Seniority level
1,06/09/2021 14h,Tripadvisor,"Lisboa, Lisbon, Portugal",Senior Data Scientist,2021-09-01,https://linkedin.com/jobs/view/senior-data-scientist-at-tripadvisor-2699290490,"['Owns the algorithms exposed on the website and which maximize business objectives ', 'Balances time between long-term projects and real-time firefighting ', 'Collaborates with…', 'Machine learning to improve the user experience ', 'Product to support additional features on the site ', 'Analytics to investigate trends and identify opportunities ', 'Supply to make sure we are operating an efficient marketplace ', 'Traffic to efficiently increase revenue across all channels ', 'Provides weekly and monthly management-level reports, synthesized from numerous sources, focused on measurable impacts. ', 'Focus primarily on our sort and recommendation algorithms ', 'Build solutions to solve quickly concrete business challenges (1 to 3 weeks projects) ', 'Be creative and efficient in the modeling approach (find the simple logic that solves most of the problem) ', 'Interact with many teams to support stakeholders’ projects but also owning your own initiatives ', 'Lead data science projects from concept to implementation: data exploration, modeling, productizing & coordinate work for deployment and integration ', 'Lead the achievement of one or more of the team’s most important objectives ', 'Improve the team’s models and processes ', 'Provide stewardship and act as team expert for several of the team’s most important models, pipelines and areas of expertise. ', 'Strong communication skills: Form strong relationships with partners across the business to get things done ', 'Work with other teams to review project specifications and schedule project work ', 'Work with other teams to develop new, or enhance existing, products and opportunities ', 'An interest to leverage data more to improve YoY revenue than to build the perfect model ', 'Willingness to have direct and visible impact on the business ', 'Preference for MVP + Iteration ', '2+ years’ in an analytical role ', 'Master’s degree in quantitative field ', 'Expert in SQL; Python a plus ', 'Excellent problem-solving and analytical skills ', 'Ability to communicate effectively with audiences of various background, level and function. ']",Be among the first 25 applicants,Full-time,"Computer Software, Internet, and Leisure, Travel & Tourism","Analyst, Information Technology, and Engineering",Mid-Senior level
1,06/09/2021 14h,CASAFARI,"Lisbon, Portugal",Product Data Scientist,2021-07-16,https://linkedin.com/jobs/view/product-data-scientist-at-casafari-2646599083,"['Similarity Search: Duplicate listing detection (there can be up to 50 different listings per property with varying metadata)', 'NLP: named entity recognition and information extraction such as types of the property, names of locations, the status of property listings (from text and images), features of the property', 'Computer vision: object identification, image classification, duplicate detection.', 'Outlier and error detection', 'Market analytics and property valuation model', 'Degree or equivalent experience in\xa0a quantitative field (Statistics, Mathematics, Computer Science, Engineering, etc.)', '1+ year of experience in Python, quantitative analytics or data modeling', 'Understanding of relational (SQL/MySQL) and non-relational databases (MongoDB)', 'Deep understanding of predictive modeling, clustering and classification techniques', 'Familiarity with Big Data frameworks and visualization tools (Cassandra, Hadoop, Spark, Tableau)', 'Experience in a fast-paced environment', 'Critical thinking and ability to express and present ideas', 'Hard-working attitude, high working performance, quick learner', 'Mainly remote work with occasional team meetings in Lisbon', 'Cool office in Bairro Alto, with 250 SQ.M. open terrace full of sun and plants', 'Awesome team - the chance to work with smart and ambitious people with various backgrounds from all over the world', 'Free access to CASAFARI platform (helpful if you’re looking for a place to live)', 'Kitchen with fruit and healthy snacks (daily sliced fruit, cereals, rice cookies, peanut butter, peanuts, coffee, teas, milk, almond milk, rice milk, coconut milk)', 'A small library to feed your curiosity', 'Pet-friendly - you can bring your four-legged best friend to the office']",92 applicants,Full-time,,,
1,06/09/2021 14h,Winning,"Lisbon, Lisbon, Portugal",Data Scientist,2021-07-24,https://linkedin.com/jobs/view/data-scientist-at-winning-2688249576,"['+2 anos de experiência como Data Scientist', 'Licenciatura ou mestrado integrado em área relevante (Matemática Aplicada, Estatística, Informática, Engenharias, Biomédica, etc);', 'Experiência com programação (Python, R)', 'Experiência em desenvolvimento de PowerBI', 'Experiência com de analítica avançada (TensorFlow, Keras, Caffe, PyTorch)', 'Experiência com serviços cloud PaaS (preferência Azure)', ""Modelos analíticos de complexidade alta (modelos combinatórios, deep learning sobre dados estruturados e não estruturados 'at rest');"", 'Implementação em código (R, Python) e/ou utilização proficiente de serviços cloud PaaS (preferência Azure) e bibliotecas de analítica avançada (TensorFlow, Keras, Caffe, PyTorch).']",Be among the first 25 applicants,Full-time,"Information Technology and Services, Computer Software, and Financial Services",Engineering and Information Technology,Mid-Senior level
1,06/09/2021 14h,YData,"Lisbon, Portugal",Senior Data Scientist,2021-08-31,https://linkedin.com/jobs/view/senior-data-scientist-at-ydata-2698181587,[],Be among the first 25 applicants,Full-time,,,
1,06/09/2021 14h,Smart Consulting,"Lisbon, Lisbon, Portugal",Data Scientist (m/f),2021-08-26,https://linkedin.com/jobs/view/data-scientist-m-f-at-smart-consulting-2709064594,"['Licenciatura em Engenharia Informática ou similar', 'Experiência profissional como Data Scientist', 'Experiência com R, Python, Java ou Scala', 'Experiência com base de dados não relacionais', 'Boa capacidade de comunicação', 'Flexibilidade e dinamismo', 'Inglês', 'Tornamos reais os projetos em que participamos', 'Amamos o que fazemos, e temos orgulho no resultado do nosso trabalho', 'Somos simples e eficientes', 'Valorizamos as nossas pessoas', 'Somos uma equipa dinâmica, íntegra e de confiança']",Be among the first 25 applicants,Full-time,"Information Technology and Services, Computer Software, and Human Resources",Engineering and Information Technology,Entry level
1,06/09/2021 14h,Findmore,"Lisbon, Lisbon, Portugal",Data Scientist (m/f),2021-09-03,https://linkedin.com/jobs/view/data-scientist-m-f-at-findmore-2707978157,"[' Analysis of the integration of different information systems', 'Data analysis and data modelling', 'Development and refinement of machine learning models and AI algorithms', 'Coordination of the implementation of the technical architecture', 'Technical interface between the project leaders and the developers', 'Production of software architecture documents', 'Review of the architecture of existing systems', 'Design and development of architecture components and building blocks', 'Participation in technical working groups, progress meetings and meetings with the users', 'Assistance during relevant parts of testing, analysis, technical documentation, deployment, evaluation and reporting', 'Good knowledge of cloud technologies (AWS, Azure).', 'Knowledge and proven experience in several of these fields:', 'Data preparation for Machine Learning (Deep Learning) algorithms, including data ingestion (e.g. webscraping, API) and cleansing;', 'Data modelling (SQL) and data handling (e.g., pandas or data.table frameworks);', 'Machine Learning (Deep Learning) techniques in solutions development, including dedicated frameworks (e.g. Tensorflow, PyTorch);', 'Natural Language Processing and / or computer vision models with Deep Learning;', 'Linked data and semantic technologies;', 'Data Mining;', 'Data science / data analytics tools (e.g., such as Python, R, Jupyter Notebook) and technologies (e.g., KNIME);', 'Dashboard, cockpit and visualisation development using graphical libraries (D3, Plotly, ...);', 'Interactive data visualisation using BI tools and techniques (PowerBI...);', 'Web development (HTML, CSS, Javascript);', 'Knowledge of Docker containerisation and software virtualisation and deployment is an asset;', 'Knowledge of project management methodologies (Agile, Scrum) is an asset.', 'Experience with test design.', 'EU citizenship;', 'Fluency in spoken and written English', 'Clear communication;', 'Experience in working autonomously and with internal and external providers in an international context.']",Be among the first 25 applicants,Full-time,"Information Technology and Services, Computer Software, and Telecommunications",Engineering and Information Technology,Entry level
1,06/09/2021 14h,Findmore,"Lisbon, Lisbon, Portugal",Data Scientist,2021-09-02,https://linkedin.com/jobs/view/data-scientist-at-findmore-2706964857,"[' Analysis of the integration of different information systems', 'Data analysis and data modelling', 'Development and refinement of machine learning models and AI algorithms', 'Coordination of the implementation of the technical architecture', 'Technical interface between the project leaders and the developers', 'Production of software architecture documents', 'Review of the architecture of existing systems', 'Design and development of architecture components and building blocks', 'Participation in technical working groups, progress meetings and meetings with the users', 'Assistance during relevant parts of testing, analysis, technical documentation, deployment, evaluation and reporting', 'Good knowledge of cloud technologies (AWS, Azure).', 'Knowledge and proven experience in several of these fields:', 'Data preparation for Machine Learning (Deep Learning) algorithms, including data ingestion (e.g. webscraping, API) and cleansing;', 'Data modelling (SQL) and data handling (e.g., pandas or data.table frameworks);', 'Machine Learning (Deep Learning) techniques in solutions development, including dedicated frameworks (e.g. Tensorflow, PyTorch);', 'Natural Language Processing and / or computer vision models with Deep Learning;', 'Linked data and semantic technologies;', 'Data Mining;', 'Data science / data analytics tools (e.g., such as Python, R, Jupyter Notebook) and technologies (e.g., KNIME);', 'Dashboard, cockpit and visualisation development using graphical libraries (D3, Plotly, ...);', 'Interactive data visualisation using BI tools and techniques (PowerBI...);', 'Web development (HTML, CSS, Javascript);', 'Knowledge of Docker containerisation and software virtualisation and deployment is an asset;', 'Knowledge of project management methodologies (Agile, Scrum) is an asset.', 'Experience with test design.', 'EU citizenship;', 'Fluency in spoken and written English', 'Clear communication;', 'Experience in working autonomously and with internal and external providers in an international context.']",Be among the first 25 applicants,Full-time,"Information Technology and Services, Computer Software, and Management Consulting",Engineering and Information Technology,Entry level
1,06/09/2021 14h,Michael Page,"Lisbon, Lisbon, Portugal",Data Scientist - m/f,2021-07-13,https://linkedin.com/jobs/view/data-scientist-m-f-at-michael-page-2677512464,"['Empresa de referência no sector financeiro', 'Data Scientist com experiência em Python', 'Planificar, desenvolver e coordenar a implementação de modelos preditivos, de acordo com a estratégia de evolução do negócio definida pela empresa e que permitam potenciar a tomada de decisão das diferentes áreas da organização;', 'Gerir diversos stakeholders internos e externos, no sentido de potenciar as ideias e a cooperação na procura das melhores soluções para os desafios propostos.', 'Licenciatura / Mestrado em Matemática, Data Science, Gestão de Informação, Informática ou similar;', 'Experiência em modelação preditiva utilizando modelos de Machine Learninge/ou Inteligência Artificial;', 'Participação em projectos que envolvam um grande volume de dados;', 'Domínio SAS, Phyton, R, SQL e PowerBI;', 'Experiência na área de financeiras e/ou banca;', 'Mínimo de 3 anos de experiência em funções similares;', 'Fortes competências analíticas, raciocínio lógico, orientação para os dados e foco na resolução de problemas;', 'Trabalho em equipa e autonomamente.']",Be among the first 25 applicants,Full-time,Financial Services,Engineering and Information Technology,Entry level
1,06/09/2021 14h,Beats Medical,"Lisbon, Portugal",Senior Data Scientist,2021-09-01,https://linkedin.com/jobs/view/senior-data-scientist-at-beats-medical-2705185038,"['Design and execution of the data and analytics strategy', 'Deliver end to end projects within the data and analytics strategy', 'Collaborating with the development team to ensure high-quality data collection and data execution strategy', 'Design, development and deployment of advanced analytics solutions', 'Contribute as technical subject matter expert to Research and Development projects', 'Formulate data science solutions to meet the industry needs and specifications', 'Working to drive from the technical side of data science efforts in terms of product quality assurance, safety and security', 'Lead the design and development of multi-component analytical solutions and advanced modelling capabilities, from initial engagement through to solution deployment', 'Lead sophisticated and complex research projects and analysis', 'Lead data projects, utilising data science techniques and methodologies to inform decisions to drive enhanced outcomes', 'Drive experimental rigour within the function by leading high-value projects and data visualisation', 'Design and development of strategic information solutions to present data-driven insights in a user-friendly manner', 'Contribute towards the broader data & analytics strategy through the identification of new value add data exploitation and continuous improvement opportunities', 'Promote awareness of data analytics, emerging industry trends', 'Generate a strong understanding of digital therapeutics and digital biomarker data landscape', 'Collaborate cross-functionally to refine recommendations and develop the next best action plans', 'Identify trends and insights to transform the healthcare industry', 'Wants to be part of a team that is committed to delivering high-quality products which transform patient lives', 'Wants to be part of a culture that is committed to sharing and enhancing the knowledge of the wider team supporting team-wide learning and success', 'Have a curious mindset – about what you do, the technology you use and how you connect with others to deliver products', 'Master’s degree in computer science, engineering or mathematics field', 'At least 5\xa0years experience at the end to end development of business-relevant data science solutions', 'Good knowledge of Python and one or more programming languages ( ie Kotlin, Java, etc)', 'Experience writing SQL queries and handling large amounts of data', 'Experience in artificial intelligence, machine learning, natural language processing, or advanced analytics', 'Experience with cloud-based tools for production use', 'Proficient in applying supervised and unsupervised machine learning methods such as logistic regression, decision trees, neural networks, graph analytics, clustering etc. to real-world business problems', 'Proficient in leveraging applied statistics and mathematics to test complex hypotheses across a wide variety of functional domains', 'Experience in developing and validating machine learning models', 'Ability to lead across a cross-functional team', 'Join the leading provider of digital therapeutics for Neurological and rare genetic disorders. We are shaping a rapidly growing industry to transform lives for the better', 'Culture focussed on improving the lives of 1 billion people with neurological conditions worldwide', 'Remote First Work', 'Collaborative team and culture', 'Work-life balance prioritised', 'Career Growth as part of an evolving and expanding team\xa0']",Be among the first 25 applicants,Full-time,,,
1,06/09/2021 14h,ADENTIS,"Lisbon, Lisbon, Portugal",Data Scientist (m/f),2021-08-24,https://linkedin.com/jobs/view/data-scientist-m-f-at-adentis-2695170530,"[' Degree in Computer Science, Engineering, Mathematics, Statistics, Operations Research or Management Science;', ' More then 2 years of scripting with one of these languages (PHP, R, PYTHON);', ' More than 1 year experience as a Data Scientist or in a role closely related with data.', ' Experience with packages such as NumPy, SciPy, pandas, scikit-learn, dplyr, ggplot2;', ' Know Java or Scala;', ' Experience with Spark.']",Be among the first 25 applicants,Full-time,"Information Technology and Services, Computer Software, and Management Consulting",Engineering and Information Technology,Entry level
